[2024-10-03 17:02:53,534] INFO: generated new fontManager
[2024-10-11 12:11:15,686] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 12:11:15,687] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 12:11:15,688] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 12:11:15,688] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 12:11:15,688] DEBUG: selected 10 candidates
[2024-10-11 12:11:15,690] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 12:11:15,690] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-11 12:11:15,691] DEBUG: created 10 offspring
[2024-10-11 12:11:15,691] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-11 12:11:40,151] DEBUG: replacement using generational_replacement at generation 0 and evaluation 20
[2024-10-11 12:11:40,152] DEBUG: population size is now 10
[2024-10-11 12:11:40,152] DEBUG: migration using default_migration at generation 0 and evaluation 20
[2024-10-11 12:11:40,152] DEBUG: population size is now 10
[2024-10-11 12:11:40,152] DEBUG: archival using default_archiver at generation 0 and evaluation 20
[2024-10-11 12:11:40,152] DEBUG: archive size is now 0
[2024-10-11 12:11:40,152] DEBUG: population size is now 10
[2024-10-11 12:11:40,152] DEBUG: observation using stats_observer at generation 1 and evaluation 20
[2024-10-11 12:11:40,153] DEBUG: observation using file_observer at generation 1 and evaluation 20
[2024-10-11 12:11:40,154] DEBUG: termination test using generation_termination at generation 1 and evaluation 20
[2024-10-11 12:11:40,154] DEBUG: termination from generation_termination at generation 1 and evaluation 20
[2024-10-11 12:12:53,937] DEBUG: generating initial population
[2024-10-11 12:12:53,938] DEBUG: evaluating initial population
[2024-10-11 12:13:18,685] DEBUG: population size is now 10
[2024-10-11 12:13:18,685] DEBUG: archiving initial population
[2024-10-11 12:13:18,686] DEBUG: archive size is now 0
[2024-10-11 12:13:18,686] DEBUG: population size is now 10
[2024-10-11 12:13:18,686] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 12:13:18,687] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 12:13:18,688] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 12:13:18,688] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 12:13:18,688] DEBUG: selected 10 candidates
[2024-10-11 12:13:18,690] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 12:13:18,690] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-11 12:13:18,691] DEBUG: created 10 offspring
[2024-10-11 12:13:18,691] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-11 12:13:53,201] DEBUG: replacement using generational_replacement at generation 0 and evaluation 20
[2024-10-11 12:13:53,201] DEBUG: population size is now 10
[2024-10-11 12:13:53,201] DEBUG: migration using default_migration at generation 0 and evaluation 20
[2024-10-11 12:13:53,201] DEBUG: population size is now 10
[2024-10-11 12:13:53,201] DEBUG: archival using default_archiver at generation 0 and evaluation 20
[2024-10-11 12:13:53,201] DEBUG: archive size is now 0
[2024-10-11 12:13:53,202] DEBUG: population size is now 10
[2024-10-11 12:13:53,202] DEBUG: observation using stats_observer at generation 1 and evaluation 20
[2024-10-11 12:13:53,202] DEBUG: observation using file_observer at generation 1 and evaluation 20
[2024-10-11 12:13:53,203] DEBUG: termination test using generation_termination at generation 1 and evaluation 20
[2024-10-11 12:13:53,203] DEBUG: termination from generation_termination at generation 1 and evaluation 20
[2024-10-11 12:18:08,795] DEBUG: generating initial population
[2024-10-11 12:18:08,796] DEBUG: evaluating initial population
[2024-10-11 12:18:33,707] DEBUG: population size is now 10
[2024-10-11 12:18:33,707] DEBUG: archiving initial population
[2024-10-11 12:18:33,707] DEBUG: archive size is now 0
[2024-10-11 12:18:33,708] DEBUG: population size is now 10
[2024-10-11 12:18:33,708] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 12:18:33,709] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 12:18:33,710] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 12:18:33,710] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 12:18:33,710] DEBUG: selected 10 candidates
[2024-10-11 12:18:33,712] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 12:18:33,712] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-11 12:18:33,713] DEBUG: created 10 offspring
[2024-10-11 12:18:33,713] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-11 12:19:08,237] DEBUG: replacement using generational_replacement at generation 0 and evaluation 20
[2024-10-11 12:19:08,238] DEBUG: population size is now 10
[2024-10-11 12:19:08,238] DEBUG: migration using default_migration at generation 0 and evaluation 20
[2024-10-11 12:19:08,238] DEBUG: population size is now 10
[2024-10-11 12:19:08,238] DEBUG: archival using default_archiver at generation 0 and evaluation 20
[2024-10-11 12:19:08,238] DEBUG: archive size is now 0
[2024-10-11 12:19:08,238] DEBUG: population size is now 10
[2024-10-11 12:19:08,238] DEBUG: observation using stats_observer at generation 1 and evaluation 20
[2024-10-11 12:19:08,239] DEBUG: observation using file_observer at generation 1 and evaluation 20
[2024-10-11 12:19:08,240] DEBUG: termination test using generation_termination at generation 1 and evaluation 20
[2024-10-11 12:19:08,240] DEBUG: termination from generation_termination at generation 1 and evaluation 20
[2024-10-11 12:21:04,074] DEBUG: generating initial population
[2024-10-11 12:21:04,075] DEBUG: evaluating initial population
[2024-10-11 12:21:28,861] DEBUG: population size is now 10
[2024-10-11 12:21:28,861] DEBUG: archiving initial population
[2024-10-11 12:21:28,862] DEBUG: archive size is now 0
[2024-10-11 12:21:28,862] DEBUG: population size is now 10
[2024-10-11 12:21:28,862] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 12:21:28,863] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 12:21:28,864] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 12:21:28,864] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 12:21:28,864] DEBUG: selected 10 candidates
[2024-10-11 12:21:28,866] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 12:21:28,866] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-11 12:21:28,867] DEBUG: created 10 offspring
[2024-10-11 12:21:28,867] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-11 12:22:03,405] DEBUG: replacement using generational_replacement at generation 0 and evaluation 20
[2024-10-11 12:22:03,406] DEBUG: population size is now 10
[2024-10-11 12:22:03,406] DEBUG: migration using default_migration at generation 0 and evaluation 20
[2024-10-11 12:22:03,406] DEBUG: population size is now 10
[2024-10-11 12:22:03,406] DEBUG: archival using default_archiver at generation 0 and evaluation 20
[2024-10-11 12:22:03,406] DEBUG: archive size is now 0
[2024-10-11 12:22:03,406] DEBUG: population size is now 10
[2024-10-11 12:22:03,407] DEBUG: observation using stats_observer at generation 1 and evaluation 20
[2024-10-11 12:22:03,407] DEBUG: observation using file_observer at generation 1 and evaluation 20
[2024-10-11 12:22:03,408] DEBUG: termination test using generation_termination at generation 1 and evaluation 20
[2024-10-11 12:22:03,408] DEBUG: termination from generation_termination at generation 1 and evaluation 20
[2024-10-11 12:24:02,058] DEBUG: generating initial population
[2024-10-11 12:24:02,060] DEBUG: evaluating initial population
[2024-10-11 12:25:29,364] DEBUG: generating initial population
[2024-10-11 12:25:29,365] DEBUG: evaluating initial population
[2024-10-11 12:26:43,154] DEBUG: generating initial population
[2024-10-11 12:26:43,155] DEBUG: evaluating initial population
[2024-10-11 12:27:08,001] DEBUG: population size is now 10
[2024-10-11 12:27:08,002] DEBUG: archiving initial population
[2024-10-11 12:27:08,002] DEBUG: archive size is now 0
[2024-10-11 12:27:08,002] DEBUG: population size is now 10
[2024-10-11 12:27:08,002] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 12:27:08,003] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 12:27:08,004] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 12:27:08,004] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 12:27:08,005] DEBUG: selected 10 candidates
[2024-10-11 12:27:08,006] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 12:27:08,007] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-11 12:27:08,007] DEBUG: created 10 offspring
[2024-10-11 12:27:08,007] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-11 12:27:42,509] DEBUG: replacement using generational_replacement at generation 0 and evaluation 20
[2024-10-11 12:27:42,510] DEBUG: population size is now 10
[2024-10-11 12:27:42,510] DEBUG: migration using default_migration at generation 0 and evaluation 20
[2024-10-11 12:27:42,510] DEBUG: population size is now 10
[2024-10-11 12:27:42,510] DEBUG: archival using default_archiver at generation 0 and evaluation 20
[2024-10-11 12:27:42,510] DEBUG: archive size is now 0
[2024-10-11 12:27:42,510] DEBUG: population size is now 10
[2024-10-11 12:27:42,511] DEBUG: observation using stats_observer at generation 1 and evaluation 20
[2024-10-11 12:27:42,511] DEBUG: observation using file_observer at generation 1 and evaluation 20
[2024-10-11 12:27:42,512] DEBUG: termination test using generation_termination at generation 1 and evaluation 20
[2024-10-11 12:27:42,512] DEBUG: termination from generation_termination at generation 1 and evaluation 20
[2024-10-11 12:35:16,091] DEBUG: generating initial population
[2024-10-11 12:35:16,092] DEBUG: evaluating initial population
[2024-10-11 12:35:40,849] DEBUG: population size is now 10
[2024-10-11 12:35:40,850] DEBUG: archiving initial population
[2024-10-11 12:35:40,850] DEBUG: archive size is now 0
[2024-10-11 12:35:40,850] DEBUG: population size is now 10
[2024-10-11 12:35:40,850] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 12:35:40,851] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 12:35:40,852] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 12:35:40,852] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 12:35:40,852] DEBUG: selected 10 candidates
[2024-10-11 12:35:40,854] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 12:35:40,854] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-11 12:35:40,855] DEBUG: created 10 offspring
[2024-10-11 12:35:40,855] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-11 12:36:15,318] DEBUG: replacement using generational_replacement at generation 0 and evaluation 20
[2024-10-11 12:36:15,318] DEBUG: population size is now 10
[2024-10-11 12:36:15,318] DEBUG: migration using default_migration at generation 0 and evaluation 20
[2024-10-11 12:36:15,318] DEBUG: population size is now 10
[2024-10-11 12:36:15,318] DEBUG: archival using default_archiver at generation 0 and evaluation 20
[2024-10-11 12:36:15,318] DEBUG: archive size is now 0
[2024-10-11 12:36:15,319] DEBUG: population size is now 10
[2024-10-11 12:36:15,319] DEBUG: observation using stats_observer at generation 1 and evaluation 20
[2024-10-11 12:36:15,319] DEBUG: observation using file_observer at generation 1 and evaluation 20
[2024-10-11 12:36:15,320] DEBUG: termination test using generation_termination at generation 1 and evaluation 20
[2024-10-11 12:36:15,320] DEBUG: termination from generation_termination at generation 1 and evaluation 20
[2024-10-11 12:40:38,545] DEBUG: generating initial population
[2024-10-11 12:40:38,546] DEBUG: evaluating initial population
[2024-10-11 12:41:49,068] DEBUG: generating initial population
[2024-10-11 12:41:49,069] DEBUG: evaluating initial population
[2024-10-11 12:44:14,803] DEBUG: generating initial population
[2024-10-11 12:44:14,804] DEBUG: evaluating initial population
[2024-10-11 12:47:03,860] DEBUG: generating initial population
[2024-10-11 12:47:03,861] DEBUG: evaluating initial population
[2024-10-11 12:47:28,549] DEBUG: population size is now 10
[2024-10-11 12:47:28,549] DEBUG: archiving initial population
[2024-10-11 12:47:28,549] DEBUG: archive size is now 0
[2024-10-11 12:47:28,549] DEBUG: population size is now 10
[2024-10-11 12:47:28,550] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 12:47:28,550] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 12:47:28,552] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 12:47:28,552] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 12:47:28,552] DEBUG: selected 10 candidates
[2024-10-11 12:47:28,554] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 12:47:28,554] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-11 12:47:28,554] DEBUG: created 10 offspring
[2024-10-11 12:47:28,555] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-11 12:48:03,028] DEBUG: replacement using generational_replacement at generation 0 and evaluation 20
[2024-10-11 12:48:03,029] DEBUG: population size is now 10
[2024-10-11 12:48:03,029] DEBUG: migration using default_migration at generation 0 and evaluation 20
[2024-10-11 12:48:03,029] DEBUG: population size is now 10
[2024-10-11 12:48:03,029] DEBUG: archival using default_archiver at generation 0 and evaluation 20
[2024-10-11 12:48:03,029] DEBUG: archive size is now 0
[2024-10-11 12:48:03,029] DEBUG: population size is now 10
[2024-10-11 12:48:03,029] DEBUG: observation using stats_observer at generation 1 and evaluation 20
[2024-10-11 12:48:03,030] DEBUG: observation using file_observer at generation 1 and evaluation 20
[2024-10-11 12:48:03,031] DEBUG: termination test using generation_termination at generation 1 and evaluation 20
[2024-10-11 12:48:03,031] DEBUG: termination from generation_termination at generation 1 and evaluation 20
[2024-10-11 12:54:56,567] DEBUG: generating initial population
[2024-10-11 12:54:56,568] DEBUG: evaluating initial population
[2024-10-11 12:55:42,750] DEBUG: population size is now 10
[2024-10-11 12:55:42,750] DEBUG: archiving initial population
[2024-10-11 12:55:42,750] DEBUG: archive size is now 0
[2024-10-11 12:55:42,750] DEBUG: population size is now 10
[2024-10-11 12:55:42,751] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 12:55:42,751] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 12:55:42,753] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 12:55:42,753] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 12:55:42,753] DEBUG: selected 10 candidates
[2024-10-11 12:55:42,755] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 12:55:42,755] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-11 12:55:42,756] DEBUG: created 10 offspring
[2024-10-11 12:55:42,756] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-11 12:56:28,431] DEBUG: replacement using generational_replacement at generation 0 and evaluation 20
[2024-10-11 12:56:28,431] DEBUG: population size is now 10
[2024-10-11 12:56:28,431] DEBUG: migration using default_migration at generation 0 and evaluation 20
[2024-10-11 12:56:28,431] DEBUG: population size is now 10
[2024-10-11 12:56:28,432] DEBUG: archival using default_archiver at generation 0 and evaluation 20
[2024-10-11 12:56:28,432] DEBUG: archive size is now 0
[2024-10-11 12:56:28,432] DEBUG: population size is now 10
[2024-10-11 12:56:28,432] DEBUG: observation using stats_observer at generation 1 and evaluation 20
[2024-10-11 12:56:28,432] DEBUG: observation using file_observer at generation 1 and evaluation 20
[2024-10-11 12:56:28,433] DEBUG: termination test using generation_termination at generation 1 and evaluation 20
[2024-10-11 12:56:28,433] DEBUG: termination from generation_termination at generation 1 and evaluation 20
[2024-10-11 13:04:14,347] DEBUG: generating initial population
[2024-10-11 13:04:14,348] DEBUG: evaluating initial population
[2024-10-11 13:04:56,320] DEBUG: generating initial population
[2024-10-11 13:04:56,321] DEBUG: evaluating initial population
[2024-10-11 13:05:42,537] DEBUG: population size is now 10
[2024-10-11 13:05:42,537] DEBUG: archiving initial population
[2024-10-11 13:05:42,537] DEBUG: archive size is now 0
[2024-10-11 13:05:42,537] DEBUG: population size is now 10
[2024-10-11 13:05:42,537] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 13:05:42,538] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 13:05:42,539] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 13:05:42,539] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 13:05:42,540] DEBUG: selected 10 candidates
[2024-10-11 13:05:42,542] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 13:05:42,542] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-11 13:05:42,542] DEBUG: created 10 offspring
[2024-10-11 13:05:42,542] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-11 13:06:28,382] DEBUG: replacement using generational_replacement at generation 0 and evaluation 20
[2024-10-11 13:06:28,383] DEBUG: population size is now 10
[2024-10-11 13:06:28,383] DEBUG: migration using default_migration at generation 0 and evaluation 20
[2024-10-11 13:06:28,383] DEBUG: population size is now 10
[2024-10-11 13:06:28,383] DEBUG: archival using default_archiver at generation 0 and evaluation 20
[2024-10-11 13:06:28,383] DEBUG: archive size is now 0
[2024-10-11 13:06:28,383] DEBUG: population size is now 10
[2024-10-11 13:06:28,383] DEBUG: observation using stats_observer at generation 1 and evaluation 20
[2024-10-11 13:06:28,384] DEBUG: observation using file_observer at generation 1 and evaluation 20
[2024-10-11 13:06:28,385] DEBUG: termination test using generation_termination at generation 1 and evaluation 20
[2024-10-11 13:06:28,385] DEBUG: termination from generation_termination at generation 1 and evaluation 20
[2024-10-11 13:15:15,154] DEBUG: generating initial population
[2024-10-11 13:15:15,156] DEBUG: evaluating initial population
[2024-10-11 13:16:01,424] DEBUG: population size is now 10
[2024-10-11 13:16:01,424] DEBUG: archiving initial population
[2024-10-11 13:16:01,424] DEBUG: archive size is now 0
[2024-10-11 13:16:01,424] DEBUG: population size is now 10
[2024-10-11 13:16:01,424] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 13:16:01,425] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 13:16:01,426] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 13:16:01,426] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 13:16:01,427] DEBUG: selected 10 candidates
[2024-10-11 13:16:01,428] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 13:16:01,429] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-11 13:16:01,429] DEBUG: created 10 offspring
[2024-10-11 13:16:01,429] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-11 13:16:47,107] DEBUG: replacement using generational_replacement at generation 0 and evaluation 20
[2024-10-11 13:16:47,107] DEBUG: population size is now 10
[2024-10-11 13:16:47,107] DEBUG: migration using default_migration at generation 0 and evaluation 20
[2024-10-11 13:16:47,107] DEBUG: population size is now 10
[2024-10-11 13:16:47,108] DEBUG: archival using default_archiver at generation 0 and evaluation 20
[2024-10-11 13:16:47,108] DEBUG: archive size is now 0
[2024-10-11 13:16:47,108] DEBUG: population size is now 10
[2024-10-11 13:16:47,108] DEBUG: observation using stats_observer at generation 1 and evaluation 20
[2024-10-11 13:16:47,108] DEBUG: observation using file_observer at generation 1 and evaluation 20
[2024-10-11 13:16:47,109] DEBUG: termination test using generation_termination at generation 1 and evaluation 20
[2024-10-11 13:16:47,109] DEBUG: termination from generation_termination at generation 1 and evaluation 20
[2024-10-11 13:17:48,650] DEBUG: generating initial population
[2024-10-11 13:17:48,652] DEBUG: evaluating initial population
[2024-10-11 13:18:34,956] DEBUG: population size is now 10
[2024-10-11 13:18:34,956] DEBUG: archiving initial population
[2024-10-11 13:18:34,956] DEBUG: archive size is now 0
[2024-10-11 13:18:34,956] DEBUG: population size is now 10
[2024-10-11 13:18:34,957] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-11 13:18:34,957] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-11 13:18:34,958] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-11 13:18:34,959] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-11 13:18:34,959] DEBUG: selected 10 candidates
[2024-10-11 13:18:34,961] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-11 13:18:34,961] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
